x1	y1	x2	y2
7.712875	0.68217456	7.6433334	0.7639271
0.32117367	7.91636	0.5777025	7.769498
2.8044195	0.5687702	2.1759205	0.38505077
0.17950475	7.7666073	0.058466196	9.010395
1.3840652	5.690943	1.2820059	5.8575225
4.2006307	4.4177237	3.5541134	4.3452783
2.2624784	5.4043655	1.8772095	5.1949587
1.609093	2.0296712	2.0731843	2.0353003
2.2485805	4.7599163	2.711689	5.1357994
1.6891402	1.8113792	2.0731843	2.0353003
7.662277	1.9986558	7.420612	1.2058383
8.766291	1.440751	8.062744	1.5515172
1.8772095	5.1949587	2.2485805	4.7599163
8.871046	5.646155	9.107289	5.751663
9.00797	3.4988146	9.345869	3.4196925
6.0214667	9.809378	6.3143964	9.852838
2.0699067	4.356978	1.835013	3.7177224
8.764492	4.994684	8.281623	4.141536
8.785009	6.546567	9.282214	6.8769903
3.5446577	2.9139562	4.0740213	3.215191
9.408235	1.5387595	9.61587	1.6574562
4.148158	1.2082952	3.8570051	1.6737092
4.446151	8.07166	5.0679264	8.13342
5.182767	7.672428	5.798975	8.341152
5.8185697	1.6023362	6.1364784	1.497581
9.537464	8.081766	9.671428	8.908307
1.9613081	0.7354915	1.3454342	1.1270589
8.931171	1.3653338	9.045164	1.2257069
9.147443	0.36664248	8.832172	0.051580667
3.103898	1.3477927	3.12917	1.1284685
7.5212383	5.719683	7.0779486	5.906672
9.898302	3.6196601	9.837798	0.9229958
9.80467	8.121998	9.917288	9.988965
0.8401638	6.946585	0.6071806	6.016648
9.910401	4.3832474	9.992172	5.262677
8.415989	5.616459	8.24701	5.4813576
3.3229918	8.365402	2.986452	8.482372
4.497667	6.4485264	3.756429	5.747944
9.622626	9.588483	9.688081	8.974411
1.7880148	9.175389	1.005125	8.863896
5.900504	2.1071005	5.9550786	2.3237925
6.4348702	3.806069	6.4845963	3.9413655
1.3300002	3.4006214	0.8468044	3.3809538
5.8185697	1.6023362	5.783095	2.0996575
9.917288	9.988965	9.274333	9.724704
8.209464	5.1198335	8.24701	5.4813576
4.5738926	0.46665728	4.815436	0.4956287
2.7093995	7.0398064	2.6443815	6.679104
7.385352	2.9299588	7.914062	2.8642058
6.688108	8.230351	7.0554	8.681704
5.246167	9.665706	5.5030894	9.063263
4.2836437	0.44585466	4.4729276	0.22341013
2.5103962	7.622812	2.2488499	7.2716694
6.593398	3.0829465	5.9819536	2.9009457
2.1033363	2.9070573	1.7861778	3.2981646
2.6120086	9.17556	2.6365483	9.407969
2.6120086	9.17556	3.0716848	9.462777
2.6365483	9.407969	2.298578	9.473767
1.7861778	3.2981646	1.3300002	3.4006214
5.291875	4.4097366	5.21965	4.3694334
9.126251	9.8186865	9.026625	9.983348
1.3840652	5.690943	1.3963306	5.4122233
7.420612	1.2058383	6.494591	2.333845
3.6965418	6.6375723	3.344459	6.724674
7.385352	2.9299588	7.6810484	2.6258671
3.4896154	9.7177515	3.4634895	9.745597
7.9749393	6.4911036	8.24701	5.4813576
0.30211747	7.038952	0.17986655	7.6974893
6.494591	2.333845	5.9550786	2.3237925
7.357377	7.0769286	7.4067664	7.4265013
6.8026066	7.5376396	6.688108	8.230351
2.6120086	9.17556	2.705553	9.04244
2.345533	0.14609993	2.8044195	0.5687702
3.2497125	7.0992637	3.6242485	7.4756203
9.765572	6.1178255	9.46078	6.205485
3.6116195	5.024502	3.4682703	5.209947
3.5578573	1.2008464	3.1796904	1.0580063
6.416633	0.6396836	6.122055	1.1037982
7.5056515	8.509211	6.688108	8.230351
8.738472	2.4518304	8.517172	2.5586886
4.8301	5.3861833	4.497667	6.4485264
6.683546	9.947277	6.0214667	9.809378
9.765839	3.2754385	9.574196	2.8108768
3.8750458	9.289042	4.384455	9.206372
3.103898	1.3477927	2.9555564	2.0703812
9.309748	6.4887342	9.765572	6.1178255
9.542206	4.5059643	9.407344	4.3014364
2.705553	9.04244	2.3715396	9.133831
2.7889996	3.4564447	2.4818082	4.433801
3.3229918	8.365402	2.9955597	8.160843
5.21965	4.3694334	5.4893246	3.8575954
5.2439713	1.3783538	4.5117183	1.6695064
4.4190116	8.167618	4.1076493	8.403953
1.3454342	1.1270589	1.3691354	0.25194108
6.2060146	8.367969	6.688108	8.230351
3.638659	0.7871932	3.3097105	0.18206239
0.4447329	8.660578	0.5631292	8.880506
0.41848361	4.5377855	0.04494667	3.9051688
4.250291	7.434846	3.6467743	7.4348803
1.3300002	3.4006214	1.6502792	2.8641522
2.661076	5.688595	2.0982754	6.273251
2.019012	9.575013	1.6839993	9.905153
7.049344	4.265711	7.238025	3.8780165
5.9819536	2.9009457	6.4348702	3.806069
8.4739685	9.746949	9.026625	9.983348
7.3981757	6.6349306	7.9749393	6.4911036
8.18535	9.083229	7.619693	8.914184
4.564001	4.655118	4.2006307	4.4177237
9.745382	9.655601	9.274333	9.724704
9.757432	7.0653477	9.99185	6.082037
9.537464	8.081766	9.425121	8.007821
0.3650415	2.4544072	0.876081	1.9464976
0.32117367	7.91636	0.56722045	8.053766
6.7657843	4.8707604	7.2862935	4.5928073
7.5212383	5.719683	7.389741	5.8858232
6.223318	7.379766	6.3015456	7.3789387
1.8525219	8.307073	1.826098	8.450622
0.876081	1.9464976	0.32706976	1.6871548
1.2820059	5.8575225	1.534152	7.21556
8.415989	5.616459	8.660317	6.095407
4.691803	8.347119	4.4190116	8.167618
2.498155	9.23348	2.3715396	9.133831
0.58348775	3.2681103	0.8468044	3.3809538
4.2322598	1.5346682	4.148158	1.2082952
7.4957795	4.902286	6.7657843	4.8707604
0.4447329	8.660578	0.5322808	8.616988
4.815436	0.4956287	4.6252356	0.90045035
7.283555	3.6446726	7.238025	3.8780165
5.9819536	2.9009457	5.9550786	2.3237925
6.63239	0.18442988	4.633316	0.08549869
6.38287	9.080051	6.0214667	9.809378
1.0217273	0.5504775	0.25864422	0.041826367
3.756429	5.747944	3.4682703	5.209947
4.3318863	5.207195	4.8301	5.3861833
8.728709	7.515373	8.937451	7.3252444
9.48333	7.8500624	9.754898	7.6359076
4.0740213	3.215191	4.5539236	3.459642
2.9955597	8.160843	2.8150475	8.412654
2.3547685	5.368105	2.4362493	5.3469057
0.6141937	5.472297	1.3840652	5.690943
3.5541134	4.3452783	3.4212632	4.160888
5.8528814	0.8578688	6.63239	0.18442988
5.1837497	5.8699536	5.452562	5.740686
0.8468044	3.3809538	0.24625361	3.5601835
1.6309524	1.4554554	1.4486712	1.8979186
8.971436	3.303734	8.098188	3.6106033
4.6252356	0.90045035	4.5738926	0.46665728
3.4896154	9.7177515	3.6026735	9.601637
3.6026735	9.601637	3.5374963	9.548544
0.58348775	3.2681103	0.24625361	3.5601835
5.3390713	6.5827413	6.2301073	6.6579823
3.333038	7.965953	2.5977726	7.271718
3.1856875	6.7603064	3.2497125	7.0992637
2.0068984	0.035172105	2.0595562	0.62702835
4.384455	9.206372	4.37434	9.954123
2.9955597	8.160843	3.333038	7.965953
0.5322808	8.616988	0.5631292	8.880506
3.247478	4.521398	2.711689	5.1357994
0.17986655	7.6974893	0.2731794	6.7570915
