x1	y1	Level1	x2	y2	Level2
0.26505345	0.20641918	2			
0.2681019	0.099546604	1			
0.32162306	0.19049725	1			
0.33232158	0.16722497	0			
0.34090844	0.3243702	1			
0.35875854	0.07850153	3			
0.38500857	0.09194372	4			
0.41039267	0.13908434	3			
0.4143367	0.12576748	4			
0.41651496	0.10718518	5			
0.42135996	0.07702605	6			
0.42716503	0.19786969	2			
0.4316793	0.04967159	4			
0.43254206	0.07395506	4			
0.43690372	0.20917866	1			
0.43810618	0.0747608	3			
0.45671806	0.21907741	0			
0.46032995	0.03922322	3			
0.46271503	0.073111914	4			
0.4630307	0.1648265	2			
0.46376172	0.12211646	2			
0.46826953	0.20807926	2			
0.46982905	0.39701468	1			
0.47528988	0.45887265	1			
0.47668764	0.13477491	1			
0.48141715	0.14235829	0			
0.48449394	0.070520364	2			
0.486466	0.18435867	1			
0.49789798	0.06628319	0			
0.5049978	0.0294912	1			
0.50560063	-0.094073884	2			
0.509391	0.48214227	2			
0.51115346	0.46837267	0			
0.5240222	0.14563029	2			
0.52413476	0.4883566	1			
0.5337876	0.5337847	3			
0.5413173	0.13344434	3			
0.5448334	0.24049945	1			
0.5540968	0.10809283	1			
0.57529414	0.5752904	3			
0.5823962	0.16885759	3			
0.5863639	0.12369908	2			
0.5958738	0.4941962	1			
0.61116874	0.6111605	4			
0.6306834	0.058816463	2			
0.9403033	0.969476	3			
0.94115615	0.9705758	4			
0.94496316	0.97438246	3			
0.94899154	0.9781716	3			
